id,title,description,category,videoUrl,thumbnailUrl,duration
clean_my_phone,Clean My Phone,"Clean My Phone
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774980321/portfolio/brand_ads/videos/clean_my_phone.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774980321/portfolio/brand_ads/videos/clean_my_phone.jpg,30
clean_my_phone_20,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774982962/portfolio/brand_ads/videos/clean_my_phone_20.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774982962/portfolio/brand_ads/videos/clean_my_phone_20.jpg,30
clean_my_phone_8,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984628/portfolio/brand_ads/videos/clean_my_phone_8.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984628/portfolio/brand_ads/videos/clean_my_phone_8.jpg,30
clean_my_phone_21,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984543/portfolio/brand_ads/videos/clean_my_phone_21.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984543/portfolio/brand_ads/videos/clean_my_phone_21.jpg,30
clean_my_phone_17,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984404/portfolio/brand_ads/videos/clean_my_phone_17.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984404/portfolio/brand_ads/videos/clean_my_phone_17.jpg,30
clean_my_phone_4,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984286/portfolio/brand_ads/videos/clean_my_phone_4.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984286/portfolio/brand_ads/videos/clean_my_phone_4.jpg,30
clean_my_phone_5,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984084/portfolio/brand_ads/videos/clean_my_phone_5.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984084/portfolio/brand_ads/videos/clean_my_phone_5.jpg,30
clean_my_phone_16,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774984011/portfolio/brand_ads/videos/clean_my_phone_16.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774984011/portfolio/brand_ads/videos/clean_my_phone_16.jpg,30
clean_my_phone_9,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774982891/portfolio/brand_ads/videos/clean_my_phone_9.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774982891/portfolio/brand_ads/videos/clean_my_phone_9.jpg,30
clean_my_phone_23,Clean My Phone(),"Clean My Phone()
 

 High-quality brand advertisement video created for portfolio showcase.
 Focused on storytelling, engagement, and visual appeal.
 

 🎬 Created by: AIVIRALADS",Brand Ads,https://res.cloudinary.com/dn6ggohlj/video/upload/v1774982839/portfolio/brand_ads/videos/clean_my_phone_23.mov,https://res.cloudinary.com/dn6ggohlj/video/upload/so_0/v1774982839/portfolio/brand_ads/videos/clean_my_phone_23.jpg,30
